NAME,TEAM,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Russell Wilson,SEA,QB,3983,34,11,586,3,0,0,0,2,3
Cam Newton,CAR,QB,3302,22,16,754,6,0,0,0,1,1
Tom Brady,NE,QB,4577,32,8,28,0,0,0,0,2,3
Alex Smith,WAS,QB,4042,26,5,355,1,0,0,0,0,1
Carson Wentz,PHI,QB,3296,33,7,299,0,0,0,0,4,3
Kirk Cousins,MIN,QB,4093,27,13,179,4,0,0,0,0,5
Matthew Stafford,DET,QB,4446,29,10,98,0,0,0,0,2,7
Philip Rivers,LAC,QB,4515,28,10,-2,0,0,0,0,0,1
Drew Brees,NO,QB,4334,23,8,12,2,0,0,0,0,0
Ben Roethlisberger,PIT,QB,4251,28,14,47,0,0,0,0,2,1
Dak Prescott,DAL,QB,3324,22,13,357,6,0,0,0,0,3
Jared Goff,LA,QB,3804,28,7,51,1,0,0,0,0,3
Blake Bortles,JAX,QB,3687,21,13,322,2,0,0,0,3,3
Case Keenum,DEN,QB,3547,22,7,160,1,0,0,0,1,1
Matt Ryan,ATL,QB,4095,20,12,143,0,0,0,0,0,3
Tyrod Taylor,CLE,QB,2799,14,4,427,4,0,0,0,0,2
Andy Dalton,CIN,QB,3320,25,12,99,0,0,0,0,0,4
Marcus Mariota,TEN,QB,3232,13,15,312,5,0,0,0,0,1
Derek Carr,OAK,QB,3496,22,13,66,0,0,0,0,2,3
Jacoby Brissett,IND,QB,3098,13,7,260,4,0,0,0,0,3
Josh McCown,NYJ,QB,2926,18,9,124,5,0,0,0,0,4
Jameis Winston,TB,QB,3504,19,11,135,1,0,0,0,1,7
Eli Manning,NYG,QB,3468,19,13,26,1,0,0,0,0,5
Joe Flacco,BAL,QB,3141,18,13,54,1,0,0,0,1,0
DeShone Kizer,GB,QB,2894,11,22,419,5,0,0,0,0,6
Deshaun Watson,HOU,QB,1699,19,8,269,2,0,0,0,2,1
Jay Cutler,NFL,QB,2666,19,14,32,0,0,0,0,0,0
Mitchell Trubisky,CHI,QB,2193,7,7,248,2,0,0,0,1,3
Aaron Rodgers,GB,QB,1675,16,6,126,0,0,0,0,0,1
Trevor Siemian,MIN,QB,2285,12,14,127,1,0,0,0,0,2
Brett Hundley,GB,QB,1836,9,12,270,2,10,0,0,1,2
C.J. Beathard,SF,QB,1430,4,6,136,3,0,0,0,0,2
Jimmy Garoppolo,SF,QB,1560,7,5,11,1,-6,0,0,0,0
Ryan Fitzpatrick,TB,QB,1103,7,3,78,0,0,0,0,0,0
Brock Osweiler,MIA,QB,1088,5,5,64,1,0,0,0,2,1
Brian Hoyer,NE,QB,1287,4,4,4,1,0,0,0,0,1
Blaine Gabbert,TEN,QB,1086,6,6,82,0,0,0,0,1,2
Tom Savage,NO,QB,1412,5,6,2,0,0,0,0,0,7
Drew Stanton,CLE,QB,894,6,5,7,0,0,0,0,0,0
Nick Foles,PHI,QB,537,5,2,3,0,0,0,0,0,2
Kevin Hogan,WAS,QB,517,4,5,71,0,0,0,0,0,0
Mike Glennon,ARI,QB,833,4,5,4,0,0,0,0,0,3
Sam Bradford,ARI,QB,382,3,0,-3,0,0,0,0,0,0
Bryce Petty,MIA,QB,544,1,3,55,0,0,0,0,0,0
David Fales,MIA,QB,265,1,1,8,1,0,0,0,0,0
Paxton Lynch,DEN,QB,295,2,3,30,0,0,0,0,0,1
EJ Manuel,OAK,QB,265,1,1,15,0,0,0,0,0,0
Nathan Peterman,BUF,QB,252,2,5,23,0,0,0,0,0,0
Patrick Mahomes,KC,QB,284,0,1,10,0,0,0,0,0,0
Geno Smith,LAC,QB,212,1,0,12,0,0,0,0,0,2
Landry Jones,PIT,QB,239,1,1,-10,0,0,0,0,0,1
Nate Sudfeld,PHI,QB,134,0,0,22,0,0,0,0,0,0
Sean Mannion,LA,QB,185,0,0,-2,0,0,0,0,0,1
Joe Webb,HOU,QB,35,0,1,54,0,0,0,0,0,0
Cody Kessler,JAX,QB,126,0,1,-1,0,0,0,0,0,0
AJ McCarron,BUF,QB,66,0,0,0,0,0,0,0,0,0
Matt Cassel,DET,QB,162,1,2,0,0,0,0,0,0,2
Cooper Rush,DAL,QB,2,0,0,13,0,0,0,0,0,0
Taylor Heinicke,CAR,QB,10,0,0,2,0,0,0,0,0,0
Joe Callahan,PHI,QB,11,0,0,0,0,0,0,0,0,0
Austin Allen,TB,QB,0,0,0,0,0,0,0,0,0,0
Brandon Allen,LA,QB,0,0,0,0,0,0,0,0,0,0
Josh Allen,BUF,QB,0,0,0,0,0,0,0,0,0,0
Kyle Allen,CAR,QB,0,0,0,0,0,0,0,0,0,0
Matt Barkley,CIN,QB,0,0,0,0,0,0,0,0,0,0
J.T. Barrett,NO,QB,0,0,0,0,0,0,0,0,0,0
Kurt Benkert,ATL,QB,0,0,0,0,0,0,0,0,0,0
Tim Boyle,GB,QB,0,0,0,0,0,0,0,0,0,0
Connor Cook,OAK,QB,0,0,0,0,0,0,0,0,0,0
Sam Darnold,NYJ,QB,0,0,0,0,0,0,0,0,0,0
Joshua Dobbs,PIT,QB,0,0,0,0,0,0,0,0,0,0
Danny Etling,NE,QB,0,0,0,0,0,0,0,0,0,0
Luke Falk,TEN,QB,0,0,0,0,0,0,0,0,0,0
Tyler Ferguson,NFL,QB,0,0,0,0,0,0,0,0,0,0
Garrett Gilbert,CAR,QB,0,0,0,0,0,0,0,0,0,0
Garrett Grayson,ATL,QB,0,0,0,0,0,0,0,0,0,0
Robert Griffin III,BAL,QB,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0
Christian Hackenberg,NFL,QB,0,0,0,0,0,0,0,0,0,0
Jack Heneghan,SF,QB,0,0,0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,BAL,QB,0,0,0,0,0,0,0,0,0,0
Josh Johnson,NFL,QB,0,0,0,0,0,0,0,0,0,0
Cardale Jones,LAC,QB,0,0,0,0,0,0,0,0,0,0
Brad Kaaya,IND,QB,0,0,0,0,0,0,0,0,0,0
Colin Kaepernick,NFL,QB,0,0,0,0,0,0,0,0,0,0
Chad Kanoff,ARI,QB,0,0,0,0,0,0,0,0,0,0
Chad Kelly,DEN,QB,0,0,0,0,0,0,0,0,0,0
Kyle Lauletta,NYG,QB,0,0,0,0,0,0,0,0,0,0
Tanner Lee,JAX,QB,0,0,0,0,0,0,0,0,0,0
Chase Litton,KC,QB,0,0,0,0,0,0,0,0,0,0
Andrew Luck,IND,QB,0,0,0,0,0,0,0,0,0,0
Baker Mayfield,CLE,QB,0,0,0,0,0,0,0,0,0,0
Colt McCoy,WAS,QB,0,0,0,0,0,0,0,0,0,0
Matt McGloin,KC,QB,0,0,0,0,0,0,0,0,0,0
Alex McGough,SEA,QB,0,0,0,0,0,0,0,0,0,0
Stephen Morris,HOU,QB,0,0,0,0,0,0,0,0,0,0
Nick Mullens,SF,QB,0,0,0,0,0,0,0,0,0,0
Peter Pujals,MIN,QB,0,0,0,0,0,0,0,0,0,0
Josh Rosen,ARI,QB,0,0,0,0,0,0,0,0,0,0
Mason Rudolph,PIT,QB,0,0,0,0,0,0,0,0,0,0
Matt Schaub,ATL,QB,0,0,0,0,0,0,0,0,0,0
Nic Shimonek,LAC,QB,0,0,0,0,0,0,0,0,0,0
Jameill Showers,DAL,QB,0,0,0,0,0,0,0,0,0,0
Kyle Sloter,MIN,QB,0,0,0,0,0,0,0,0,0,0
Dalton Sturm,DAL,QB,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,MIA,QB,0,0,0,0,0,0,0,0,0,0
Alex Tanney,NYG,QB,0,0,0,0,0,0,0,0,0,0
Tim Tebow,NFL,QB,0,0,0,0,0,0,0,0,0,0
Phillip Walker,IND,QB,0,0,0,0,0,0,0,0,0,0
Davis Webb,NYG,QB,0,0,0,0,0,0,0,0,0,0
Brandon Weeden,HOU,QB,0,0,0,0,0,0,0,0,0,0
Mike White,DAL,QB,0,0,0,0,0,0,0,0,0,0
Josh Woodrum,BAL,QB,0,0,0,0,0,0,0,0,0,0
Logan Woodside,CIN,QB,0,0,0,0,0,0,0,0,0,0
Austin Davis,SEA,QB,0,0,0,-1,0,0,0,0,0,0
Chase Daniel,CHI,QB,0,0,0,-2,0,0,0,0,0,0
Chad Henne,KC,QB,0,0,0,-5,0,0,0,0,0,0
Jake Rudock,DET,QB,24,0,1,0,0,0,0,0,0,0
Tyler Bray,CHI,QB,0,0,0,0,0,0,0,0,0,1
Teddy Bridgewater,NYJ,QB,0,0,1,-3,0,0,0,0,0,0
Todd Gurley,LA,RB,0,0,0,1305,13,788,6,0,0,2
Le'Veon Bell,PIT,RB,0,0,0,1291,9,655,2,0,0,2
Kareem Hunt,KC,RB,0,0,0,1327,8,455,3,0,0,1
Alvin Kamara,NO,RB,0,0,0,728,8,826,5,0,1,1
Melvin Gordon,LAC,RB,0,0,0,1105,8,476,4,0,0,0
Mark Ingram,NO,RB,0,0,0,1124,12,416,0,0,0,3
LeSean McCoy,BUF,RB,0,0,0,1138,6,448,2,0,0,1
Leonard Fournette,JAX,RB,0,0,0,1040,9,302,1,0,0,0
Ezekiel Elliott,DAL,RB,0,0,0,983,7,269,2,0,0,1
Jordan Howard,CHI,RB,0,0,0,1122,9,125,0,0,0,1
